"name"	"description"	"enable"	"dir"	"profile"	"group"	"localip"	"remoteip"	"protocol"	"type:code[,...]"	"localport"	"remoteport"	"edge"	"program"	"service"	"interfacetype"	"rmtcomputergrp"	"rmtusrgrp"	"security"	"(rule_source)"	"action"
"""iSCSI サービス (TCP 送信)"""	"""iSCSI サーバーまたはデバイスとの通信を許可するための iSCSI サービスの送信規則です。[TCP]"""	"""no"""	"""out"""	"""private,public"""	"""iSCSI サービス"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Msiscsi"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""mDNS (UDP 受信)"""	"""mDNS トラフィックの受信規則 [UDP]"""	"""yes"""	"""in"""	"""domain,private,public"""	"""mDNS"""	"""any"""	"""any"""	"""udp"""	""""""	"""mDNS"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""dnscache"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""mDNS (UDP 送信)"""	"""mDNS トラフィックの送信規則 [UDP]"""	"""yes"""	"""out"""	"""domain,private,public"""	"""mDNS"""	"""any"""	"""any"""	"""udp"""	""""""	"""5353"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""dnscache"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extender - HTTP ストリーミング (TCP-In)"""	"""HTTP Media ストリーミングを許可するための Media Center Extender の受信規則です。[TCP 10244]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""10244"""	"""any"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extender - qWave (TCP 受信)"""	"""高品質な Windows オーディオ ビデオ エクスペリエンス サービスの使用を許可するための Media Center Extender の受信規則です。[TCP 2177]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""2177"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Qwave"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extender - qWave (TCP 送信)"""	"""高品質な Windows オーディオ ビデオ エクスペリエンス サービスの使用を許可するための Media Center Extender の送信規則です。[TCP 2177]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""2177"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Qwave"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extender - qWave (UDP 受信)"""	"""高品質な Windows オーディオ ビデオ エクスペリエンス サービスの使用を許可するための Media Center Extender の受信規則です。[UDP 2177]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""2177"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Qwave"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extender - qWave (UDP 送信)"""	"""高品質な Windows オーディオ ビデオ エクスペリエンス サービスの使用を許可するための Media Center Extender の送信規則です。[UDP 2177]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""any"""	"""2177"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Qwave"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extender - RTSP (TCP 受信)"""	"""RTSP AV 制御を許可するための Media Center Extender の受信規則です。[TCP 554、TCP 8554-8558]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""554,8554,8555,8556,8557,8558"""	"""any"""	"""no"""	"%SystemRoot%""\\ehome\\ehshell.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extender - RTSP (TCP 送信)"""	"""WMDRM-ND および RTSP AV 制御を許可するための Media Center Extender の送信規則です。[TCP]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\ehome\\ehshell.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extender - SSDP (UDP 受信)"""	"""Simple Service Discovery Protocol の使用を許可するための Media Center Extender の受信規則です。[UDP 1900]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""1900"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Ssdpsrv"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extender - SSDP (UDP 送信)"""	"""Simple Service Discovery Protocol の使用を許可するための Media Center Extender の送信規則です。[UDP 1900]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""any"""	"""1900"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Ssdpsrv"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extender - WMDRM-ND/RTP/RTCP (UDP 受信)"""	"""WMDRM-ND および RTP/RTCP AV ストリーミングを許可するための Media Center Extender の受信規則です。[UDP 7777-7781、UDP 5004-5005、UDP 50004-50013]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""7777,7778,7779,7780,7781,5004,5005,50004,50005,50006,50007,50008,50009,50010,50011,50012,50013"""	"""any"""	"""no"""	"%SystemRoot%""\\ehome\\ehshell.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extender - WMDRM-ND/RTP/RTCP (UDP 送信)"""	"""WMDRM-ND および RTP/RTCP AV ストリーミングを許可するための Media Center Extender の送信規則です。[UDP]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\ehome\\ehshell.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extender - XSP (TCP 受信)"""	"""ターミナル セッションを許可するための Media Center Extender の受信規則です。[TCP 3390]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""3390"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""termservice"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extender - サービス (TCP 送信)"""	"""コンピューターの場所を検出して接続するため、Extender デバイスを許可するための Media Center Extender の送信規則です。[TCP]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""mcx2svc"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extender - デバイス プロビジョニング (TCP 送信)"""	"""デバイス プロビジョニングのトラフィックを許可するための Media Center Extender の送信規則です。[TCP]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\ehome\\mcx2prov.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extenders - Media ストリーミング (TCP-In)"""	"""Media ストリーミングの UPnP トラフィックを許可するための Media Center Extenders の受信規則です。[TCP 2869]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""2869"""	"""any"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extenders - Media ストリーミング (TCP-Out)"""	"""Media ストリーミングの UPnP トラフィックを許可するための Media Center Extenders の送信規則です。[TCP]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""upnphost"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extenders - Media ストリーミング (UDP-Out)"""	"""Media ストリーミング用デバイスに SSDP による検索への応答を許可するための Media Center Extenders の送信規則です。[UDP 1900]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""1900"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Ssdpsrv"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extenders - UPnP (TCP-Out)"""	"""UPnP デバイスにデバイス情報を送信することを許可するための Media Center Extenders の送信規則です。[TCP]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""fdphost"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Media Center Extenders - デバイス評価 (TCP-Out)"""	"""Media ストリーミングのデバイス評価用トラフィックを許可するための Media Center Extenders の送信規則です。[TCP]"""	"""no"""	"""out"""	"""domain,private,public"""	"""Media Center Extender"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\ehome\\mcrmgr.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Netlogon サービス (NP 受信)"""	"""Netlogon サービスを名前付きパイプ経由でリモート管理するための受信規則です。"""	"""no"""	"""in"""	"""domain,private,public"""	"""Netlogon サービス"""	"""any"""	"""any"""	"""tcp"""	""""""	"""445"""	"""any"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Netlogon サービス Authz (RPC)"""	"""RPC/TCP 経由のリモート authz 要求を処理するための、NetLogon サービスの受信規則です。"""	"""no"""	"""in"""	"""domain,private,public"""	"""Netlogon サービス"""	"""any"""	"""any"""	"""tcp"""	""""""	"""RPC"""	"""any"""	"""no"""	"%SystemRoot%""\\System32\\lsass.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Secure Socket トンネリング プロトコル (SSTP 受信)"""	"""Secure Socket トンネリング プロトコルの HTTPS トラフィックを許可するための受信規則です。[TCP 443]"""	"""no"""	"""in"""	"""domain,private,public"""	"""Secure Socket トンネリング プロトコル"""	"""any"""	"""any"""	"""tcp"""	""""""	"""443"""	"""any"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""SNMP トラップ サービス (UDP 受信)"""	"""SNMP トラップを許可する SNMP トラップ サービスの受信規則です。[UDP 162]"""	"""no"""	"""in"""	"""domain"""	"""SNMP Trap"""	"""any"""	"""any"""	"""udp"""	""""""	"""162"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\snmptrap.exe"""	"""SNMPTRAP"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""SNMP トラップ サービス (UDP 受信)"""	"""SNMP トラップを許可する SNMP トラップ サービスの受信規則です。[UDP 162]"""	"""no"""	"""in"""	"""private,public"""	"""SNMP Trap"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""162"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\snmptrap.exe"""	"""SNMPTRAP"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""TCP 上の近接通信共有 (TCP 共有)"""	"""TCP 上の近接通信共有の受信規則"""	"""yes"""	"""in"""	"""domain,private,public"""	"""近接通信共有"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\proximityuxhost.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""TCP 上の近接通信共有 (TCP 配分)"""	"""TCP 上の近接通信共有の送信規則"""	"""yes"""	"""out"""	"""domain,private,public"""	"""近接通信共有"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\proximityuxhost.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Teredo のネットワーク探索 (SSDP 受信)"""	"""Simple Service Discovery Protocol の使用を許可するためのネットワーク探索の受信規則です。[UDP 1900]"""	"""yes"""	"""in"""	"""public"""	"""ネットワーク探索"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Ssdpsrv"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Teredo のネットワーク探索 (UPnP 受信)"""	"""ユニバーサル プラグ アンド プレイの使用を許可するためのネットワーク探索の受信規則です。[TCP 2869]"""	"""yes"""	"""in"""	"""public"""	"""ネットワーク探索"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""TPM 仮想スマートカード管理 (DCOM 受信)"""	"""DCOM アクティベーションを許可するためのリモート TPM 仮想スマートカード管理の受信規則です。[TCP 135]"""	"""no"""	"""in"""	"""domain"""	"""TPM 仮想スマートカード管理"""	"""any"""	"""any"""	"""tcp"""	""""""	"""135"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""rpcss"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""TPM 仮想スマートカード管理 (DCOM 受信)"""	"""DCOM アクティベーションを許可するためのリモート TPM 仮想スマートカード管理の受信規則です。[TCP 135]"""	"""no"""	"""in"""	"""private,public"""	"""TPM 仮想スマートカード管理"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""135"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""rpcss"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""TPM 仮想スマートカード管理 (TCP 受信)"""	"""リモート TPM 仮想スマートカード管理トラフィックの受信規則です。[TCP]"""	"""no"""	"""in"""	"""domain"""	"""TPM 仮想スマートカード管理"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\RmtTpmVscMgrSvr.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""TPM 仮想スマートカード管理 (TCP 受信)"""	"""リモート TPM 仮想スマートカード管理トラフィックの受信規則です。[TCP]"""	"""no"""	"""in"""	"""private,public"""	"""TPM 仮想スマートカード管理"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\RmtTpmVscMgrSvr.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""TPM 仮想スマートカード管理 (TCP 送信)"""	"""リモート TPM 仮想スマートカード管理トラフィックの送信規則です。[TCP]"""	"""no"""	"""out"""	"""domain"""	"""TPM 仮想スマートカード管理"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\RmtTpmVscMgrSvr.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""TPM 仮想スマートカード管理 (TCP 送信)"""	"""リモート TPM 仮想スマートカード管理トラフィックの送信規則です。[TCP]"""	"""no"""	"""out"""	"""private,public"""	"""TPM 仮想スマートカード管理"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\RmtTpmVscMgrSvr.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""WFD ASP Coordination Protocol (UDP 受信)"""	"""WFD サービス セッションの調整プロトコルを許可するための WLAN サービスの受信規則 [UDP 7235]"""	"""yes"""	"""in"""	"""domain,private,public"""	"""WLAN サービス - WFD Application Services Platform Coordination Protocol (UDP 使用)"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""7235"""	"""7235"""	"""no"""	"%systemroot%""\\system32\\svchost.exe"""	"""WlanSvc"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""WFD ASP Coordination Protocol (UDP 送信)"""	"""WFD サービス セッションの調整プロトコルを許可するための WLAN サービスの送信規則 [UDP 7235]"""	"""yes"""	"""out"""	"""domain,private,public"""	"""WLAN サービス - WFD Application Services Platform Coordination Protocol (UDP 使用)"""	"""any"""	"""localsubnet"""	"""udp"""	""""""	"""7235"""	"""7235"""	"""no"""	"%systemroot%""\\system32\\svchost.exe"""	"""WlanSvc"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""WFD ドライバーのみ (TCP 受信)"""	"""ドライバーが WFD 経由で通信するための受信規則 (TCP 受信)"""	"""yes"""	"""in"""	"""domain,private,public"""	"""WLAN サービス - WFD サービス カーネル モード ドライバー規則"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""WFD ドライバーのみ (TCP 送信)"""	"""ドライバーが WFD 経由で通信するための受信規則 (TCP 送信)"""	"""yes"""	"""out"""	"""domain,private,public"""	"""WLAN サービス - WFD サービス カーネル モード ドライバー規則"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""WFD ドライバーのみ (UDP 受信)"""	"""ドライバーが WFD 経由で通信するための受信規則 (UDP 受信)"""	"""yes"""	"""in"""	"""domain,private,public"""	"""WLAN サービス - WFD サービス カーネル モード ドライバー規則"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""WFD ドライバーのみ (UDP 送信)"""	"""ドライバーが WFD 経由で通信するための受信規則 (UDP 送信)"""	"""yes"""	"""out"""	"""domain,private,public"""	"""WLAN サービス - WFD サービス カーネル モード ドライバー規則"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Wi-Fi Direct スキャン サービスの使用 (受信)"""	"""Wi-Fi Direct ネットワークで WSD スキャナーを使用するための受信規則です。"""	"""yes"""	"""in"""	"""public"""	"""Wi-Fi Direct ネットワーク探索"""	"""any"""	"""any"""	"""any"""	""""""	""""""	""""""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""stisvc"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Wi-Fi Direct スキャン サービスの使用 (送信)"""	"""Wi-Fi Direct ネットワークで WSD スキャナーを使用するための送信規則です。"""	"""yes"""	"""out"""	"""public"""	"""Wi-Fi Direct ネットワーク探索"""	"""any"""	"""any"""	"""any"""	""""""	""""""	""""""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""stisvc"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Wi-Fi Direct スプーラーの使用 (受信)"""	"""Wi-Fi Direct ネットワークで WSD プリンターを使用するための受信規則です。"""	"""yes"""	"""in"""	"""public"""	"""Wi-Fi Direct ネットワーク探索"""	"""any"""	"""any"""	"""any"""	""""""	""""""	""""""	"""no"""	"%SystemRoot%""\\system32\\spoolsv.exe"""	"""Spooler"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Wi-Fi Direct スプーラーの使用 (送信)"""	"""Wi-Fi Direct ネットワークで WSD プリンターを使用するための送信規則です。"""	"""yes"""	"""out"""	"""public"""	"""Wi-Fi Direct ネットワーク探索"""	"""any"""	"""any"""	"""any"""	""""""	""""""	""""""	"""no"""	"%SystemRoot%""\\system32\\spoolsv.exe"""	"""Spooler"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Wi-Fi Direct ネットワーク探索 (受信)"""	"""Wi-Fi Direct ネットワークで WSD デバイスを探索するための受信規則です。"""	"""yes"""	"""in"""	"""public"""	"""Wi-Fi Direct ネットワーク探索"""	"""any"""	"""any"""	"""any"""	""""""	""""""	""""""	"""no"""	"%SystemRoot%""\\system32\\dashost.exe"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
